year	1999
imdb score	6.1
meta score	48
genre	Comedy
keyword	television
keyword	video store
keyword	producer
keyword	simple man
keyword	no opening credits
keyword	san francisco california
keyword	pepsi
keyword	imprisonment
keyword	soda machine
keyword	female removes her clothes
keyword	product placement
keyword	betrayal
keyword	fictional reality show
keyword	brother brother relationship
keyword	mother son relationship
keyword	media circus
keyword	mass media
keyword	box office flop
keyword	stepfather
keyword	morality
keyword	audition
keyword	family relationships
keyword	invasion of privacy
keyword	commercialism
keyword	jealousy
keyword	dysfunctional family
keyword	romantic rivalry
keyword	fish out of water
keyword	father son relationship
keyword	escape
keyword	texan
keyword	gay couple
keyword	price of fame
keyword	media hype
keyword	voyeur
keyword	remake
keyword	broadcast
keyword	kissing while having sex
keyword	satire
keyword	character name in title
cast	Sonia Bhalla	Ticket Taker
cast	Todd P. McCormick	P.I. Guest
cast	Jordan Harrelson	Audition Guy
cast	Tony Harras	Warehouse Worker
cast	Vince Lozano	Warehouse Worker
cast	Rolando Molina	Warehouse Worker
cast	Alberto Vazquez	Grave Digger
cast	Lydee Walsh	College Girl
cast	Veronica Moody	College Dorm Girl
cast	Jonathan Adler	Prison Guard
cast	Andy Arness	Groupie
cast	Dean Chambers	Ray's Drunken Friend
cast	Peter Erskine	Drummer in band
cast	Phil Hawn	Funeral Guest
cast	Janean Christine Mariani	Meg
cast	James Olea	Huge Fan
cast	J. Anthony Pena	Con-Ed Guy
cast	Courtney Lauren Penn	Extra
cast	Sean R. Quinn	Supporting / Aquarium Scenes
cast	Mary Ann Schmidt	Business Woman
cast	Greg Sestero	Roach
cast	Carl Solomon	Ed Groupie #1
cast	Chris Solomon	Boy on Car
cast	Scott St. James	Promo Guy
cast	Sandra Staggs	Wife
cast	Alekxia Valdez	Valet
