year	1998
imdb score	7.3
meta score	67
genre	Action
genre	Crime
genre	Mystery
genre	Thriller
keyword	nsa
keyword	murder
keyword	surveillance
keyword	evidence
keyword	congressman
keyword	washington d.c.
keyword	on the run
keyword	satellite
keyword	gadget
keyword	cat
keyword	dog
keyword	video footage
keyword	shootout
keyword	violence
keyword	man with glasses
keyword	wisecrack humor
keyword	government corruption
keyword	blood spatter
keyword	video voyeurism
keyword	mexican standoff
keyword	conspiracy
keyword	political thriller
keyword	shot in the chest
keyword	baltimore maryland
keyword	neo noir
keyword	exploding building
keyword	lethal injection
keyword	father son relationship
keyword	law
keyword	christmas
keyword	chase
keyword	computer
keyword	confrontation
keyword	paranoia
keyword	politics
keyword	cartoon on tv
keyword	distrust of government
keyword	secret hideaway
keyword	middle class
keyword	voyeurism
keyword	laundry drying on clothes line
keyword	african american
keyword	conspiracy theorist
keyword	wiretap
keyword	privacy
keyword	fugitive
keyword	frame up
keyword	innocence
keyword	disbelieving authorities
keyword	helicopter
keyword	claustrophobia
keyword	recording the villain
keyword	shot to death
keyword	videotape
keyword	corruption
keyword	false accusation
keyword	echelon
keyword	running
keyword	revenge
keyword	friendship
keyword	intelligence
keyword	ex girlfriend
keyword	mafia
keyword	marriage
keyword	blackmail
keyword	suspense
cast	Kasey Lynn Quinn	Reynolds' Daughter
cast	Elizabeth Berman	Ruthie
cast	Donna W. Scott	Jenny
cast	Allison Sie	Hotel Desk Clerk
cast	Michael Andolini	Sal
cast	Arthur J. Nascarella	Frankie
cast	Grant Heslov	Lenny
cast	John Cenatiempo	Young Mobster #1
cast	Joyce Flick Wendl	Waitress
cast	Frank Medrano	Bartender
cast	Dennis Sean Fahey	Cop with Ambulance
cast	Albert Wong	Mr. Wu
cast	Christopher Lawrence	Paramedic
cast	John Haynes Walker	Fireman #1
cast	Joseph Patrick Kelly	Fireman #2
cast	Lennox Brown	Tunnel Maintenance Worker
cast	Martin Bosworth	Bike Messenger
cast	Nancy Yee	Mrs. Wu
cast	Troy A. Cephers	ANA Hotel Security
cast	Carlos Gómez	FBI Agent
cast	Robert Gersicoff	FBI Agent
cast	Arnie Alpert	FBI Agent
cast	Greg Collins	FBI Supervisor
cast	Doug Roberts	Hijacked Car Driver
cast	Larry King	Larry King
cast	Warren Olney	TV Anchor #1
cast	Penny Griego	TV Anchor #2
cast	Eric Keung	Mambo Kitchen Worker #1
cast	David Han	Mambo Kitchen Worker #2
cast	Mandy Kriss	Reporter #1
cast	Noel Werking	Reporter #2
cast	Sam De Crispino	Reporter #3
cast	Wayne A. Larrivey	Doorman
cast	Rhonda Overby	Field Reporter #1
cast	Lillie Shaw Hamer	Field Reporter #2
cast	Brenna McDonough	Field Reporter #3
cast	Callison Slater	Child #1
cast	Colin Brodie	Child #2
cast	Daniel Cano	Hallway Lawyer
cast	Joy Ehrlich	Mom in Diner
cast	Eric Olson	Aide #1
cast	Thomas Troy	Aide #2
cast	Adam Karkowsky	Aide #3
cast	Steve Uhrig	Electronics Store Employee
cast	Robyn Killian	Model #1
cast	Laura E. Wood	Model #2
cast	Angelica Pamintuan	Model #3
cast	Vene L. Arcoraci	Model #4
cast	Charlie Curtis	Model #5
cast	Raichle Watt	Becky
cast	Michael James Walker	Union Official
cast	Jackilyn Ward	Pintero's Sister
cast	Jason Welch	Pintero Kid #1
cast	Joshua Ward	Pintero Kid #2
cast	Pete Sutton	Dean House Cop
cast	Tom Quinn	Tunnel Technician
cast	Robert O'Rourke	FBI Observer #1
cast	John Allendorfer	FBI Observer #2
cast	Henry Sandler	FBI Observer #3
cast	Chris Holt	Chris Holt
cast	Jim Beatty	FBI Agent
cast	Paul M. Clary	Ferry Person
cast	Pamela Fischer	Police Officer
cast	Nancy Gassner-Clayton	ANA Hotel Maid
cast	Nasi Glekas	Witness
cast	Steve Gonzales	Mr. O'Brien
cast	Seth Green	Selby
cast	Gilley Grey	Firefighter #3
cast	Philip Baker Hall	Attorney Mark Silverberg
cast	Eddie Hargitay	Paper Boy
cast	Phil Hawn	NSA Civilian Technician
cast	Paul Herman	Carlos
cast	James Hunter	Computer Programmer
cast	David Lewin	Cafe Patron
cast	Paul Majors	Doorman
cast	Brian Markinson	Attorney Brian Blake
cast	Alexis McCombs	Hotel Patron
cast	Jason Robards	Congressman Phillip Hammersley
cast	Tom Sizemore	Boss Paulie Pintero
cast	Philip Stamper	
cast	Adrienne Townes	Hotel Patron
cast	Jade Wu	Model
cast	Steven Zlotnick	NSA Technician
