year	2012
imdb score	7.1
meta score	86
genre	Drama
keyword	navy
keyword	drifter
keyword	charismatic leader
keyword	cult
keyword	right hand man
keyword	cause
keyword	female rear nudity
keyword	bare breasts
keyword	nuclear physicist
keyword	writer
keyword	religion
keyword	posing for a portrait
keyword	two word title
keyword	playing bass violin
keyword	men hugging
keyword	sea
keyword	wrestling
keyword	riding a tricycle
keyword	psychiatric evaluation
keyword	poisoning
keyword	picturing woman naked
keyword	motorcycle riding
keyword	erlenmeyer flask
keyword	imagining someone naked
keyword	1950s
keyword	river boat
keyword	locked in jail
keyword	scientology
keyword	past life
keyword	control
keyword	author
keyword	sex obsession
keyword	topless female nudity
keyword	world war two veteran
keyword	pregnant woman
keyword	riding motorcycle
keyword	clapping to music
keyword	controversial
keyword	manipulation
keyword	world war two
keyword	rorschach inkblot
keyword	woman sand sculpture
keyword	playing cello
keyword	sex scene
keyword	v j day
keyword	religious cult
keyword	coconut
keyword	woman on top
keyword	cabbage
keyword	first love
keyword	psychological testing
keyword	woman wearing black lingerie
keyword	70mm film
keyword	sailor
keyword	female frontal nudity
keyword	alcoholic
keyword	wedding
keyword	black comedy
keyword	older woman nude
keyword	dream
keyword	beach
keyword	naked woman
keyword	cult leader
keyword	pubic hair
keyword	rorschach test
keyword	masturbation
keyword	sand sculpture
keyword	photographer
keyword	pulling a man's neck tie
keyword	husband wife relationship
cast	Zachary Culbertson	Naval Patient
cast	Thomas Dalby	Dock Worker
cast	Andy Dale	Pub Patron
cast	Seth Donavan	Veteran
cast	Kay Ewing Donato	Follower
cast	Aaron Farb	
cast	Cathy Fielding	Peterson's Department Store Clerk
cast	Chanon Finley	Girl in Back of Car
cast	Jasmine Fletcher	Follower
cast	Joe Foley	Phoenix Follower
cast	Shannon Freyer	Ellen
cast	Martin Gagen	Follower
cast	Kerry Goodwin	Phoenix Follower
cast	Olesya Grushko	Bikini Girl
cast	Jim Gunter	V.A. Patient
cast	Talaria Haast	Core Follower
cast	Courtney Howard	Phoenix Follower
cast	Dale Richard Howard	Court Observer
cast	Brian Jagger	New York Dock Greeter
cast	Christina Jo'Leigh	Capwell's Bridal Consultant
cast	Keenan Johnston	Bosun's Mate Johnson
cast	Franklin Dennis Jones	Judge
cast	Veronika Kurshinskaya	Dancer / Party Guest / Cause Volunteer
cast	Terry Lane	Hiring Hall Dispatcher
cast	Mark Lavell	Dockworker
cast	Darren Le Gallo	Master's Dinner Guest
cast	Paul Loverde	Follower
cast	Josh Margulies	Joey
cast	Carl Marino	NY Dock Worker
cast	Richard Markman	Party Guest posing for photo w / The Master and wife
cast	Dennis Mattai	Phoenix Follower
cast	John Mawson	Phoenix Businessman
cast	Ray Medved	Dock Worker
cast	Jesse Muick	Dock Worker
cast	Lourdes Nadres	Filipino
cast	Rene Napoli	Shady the Bookie
cast	Stephane Nicoli	Cult Follower
cast	Andrew Nitzke	Soldier
cast	Jefferson Nogueira	Phoenix Follower
cast	Brendan Norman	Sailor
cast	Montgomery Paulsen	Dock Worker
cast	David Alan Poe	Hall Hiree
cast	Allen Pontes	Boston Dock Worker
cast	Heather Power	Student
cast	Mike Jerome Putnam	Lead Department Store Guard
cast	Jeff Rankin	Dock Worker
cast	Raul Reformina	Farmer
cast	Linda Revelli	Follower
cast	Alexandra Tejeda Rieloff	Party Guest
cast	Mark Roman	Follower
cast	Vanessa Ross	USO Girl
cast	Timothy D. Rossi	Follower
cast	Harold Rudolph	Philadelphia Follower
cast	Franklin Ruehl	Follower
cast	Dylan Saccoccio	Lancaster Dodd Partisan
cast	Andrew Schlessinger	Andrew
cast	Joseph R Scott	Navy Corpsman
cast	Joel Shock	Master's Cadet
cast	Matthew Skomo	Navy XO
cast	Adam C Smith	Follower
cast	Bradley E. Smith	NY Dock Worker
cast	Jesse Soares	US Army Veteran
cast	Arne Starr	Core Follower
cast	Kate Stewart	Follower
cast	Thomas W. Stewart	Follower
cast	Kellog Stover	Follower
cast	Michael A. Templeton	Follower Dancing
cast	Jude Thomas	Soldier
cast	John H. Tobin	Follower
cast	Najarra Townsend	Sales Girl
cast	Ian Trottier	New Hire
cast	Darrin Vanderpan	Hiring Hall Worker
cast	Ken Venzke	Boston Dock Worker
cast	Leah Verrill	Stripper
cast	Bryan Westfall	Follower
cast	Steven Wiig	Philadelphia Follower
