year	1995
imdb score	7.1
meta score	66
genre	Biography
genre	Drama
keyword	election
keyword	president
keyword	career
keyword	campaign
keyword	courtship
keyword	quaker
keyword	paranoia
keyword	watergate
keyword	1960s
keyword	u.s. president
keyword	politician
keyword	government
keyword	republican party
keyword	confrontation
keyword	flashback
keyword	trust
keyword	marriage
keyword	federal bureau of investigation
keyword	1970s
keyword	political consultant
keyword	power
keyword	epic
keyword	reference to frankenstein
keyword	evil politician
keyword	china
keyword	husband wife relationship
keyword	washington d.c.
keyword	rise and fall
keyword	woman with glasses
keyword	press conference
keyword	nixon resignation
keyword	political corruption
keyword	darwinian struggle for survival
keyword	1920s
keyword	vietnam war
keyword	alcoholism
keyword	political cover up
keyword	hospital
keyword	man with glasses
keyword	illness
keyword	scam
keyword	fbi chief
keyword	american president
keyword	1930s
keyword	politics
keyword	political campaign
keyword	one word title
keyword	controversial
keyword	first lady
keyword	government corruption
keyword	lincoln memorial
keyword	mother son relationship
keyword	brother brother relationship
keyword	oval office
keyword	steak
keyword	character name in title
cast	J. Robert Oppenheimer	Himself - Smoking Cigarette
cast	Lee Harvey Oswald	Himself - in Custody
cast	Shah Mohammad Reza Pahlavi	Himself - Handshake with Diplomat
cast	Michael Pasby	News Reporter at Press Conference
cast	Nancy Reagan	Herself - Attending Nixon Funeral
cast	Ronald Reagan	Himself - in Pro-Nixon Speech / Attending Nixon Funeral
cast	Elliot Richardson	Himself - with Archibald Cox
cast	Eleanor Roosevelt	Herself - Wearing Fur Coat
cast	Franklin D. Roosevelt	Himself - with Socialite
cast	Ethel Rosenberg	Herself - Handcuffed with Husband
cast	Julius Rosenberg	Himself - Handcuffed with Wife
cast	William Ruckelshaus	Himself - at Time of Saturday Night Massacre
cast	Adlai Stevenson	Himself - Facing Microphones
cast	Oliver Stone	Closing Narration
cast	Robert Taylor	Himself - Testifying before HUAC
cast	Harry S. Truman	Himself - with King George
cast	George Wallace	Himself - Shot by Bremer / in Wheelchair
cast	Earl Warren	Himself - Swearing in JFK
cast	Breck Wilson	Hippie
